	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
74	50.58	6.31	-15.01	78.55	11.38	-13.40	79.16	16.12	-19.03
75	51.40	6.15	-15.12	77.92	11.50	-13.25	78.64	16.30	-18.84
76	52.24	6.00	-15.24	77.18	11.67	-13.13	78.14	16.48	-18.64
77	53.09	5.85	-15.37	76.35	11.89	-13.06	77.69	16.69	-18.44
78	53.93	5.72	-15.49	75.43	12.16	-13.03	77.29	16.89	-18.23
79	54.78	5.60	-15.61	74.43	12.49	-13.05	76.91	17.12	-18.03
80	55.62	5.49	-15.73	73.35	12.89	-13.11	76.56	17.34	-17.83
81	56.47	5.39	-15.84	72.22	13.33	-13.21	76.21	17.57	-17.63
82	57.32	5.31	-15.95	71.04	13.84	-13.37	75.88	17.80	-17.42
83	58.16	5.24	-16.05	69.84	14.40	-13.55	75.54	18.05	-17.23
84	59.01	5.18	-16.13	68.63	15.03	-13.78	75.19	18.28	-17.04
85	59.83	5.14	-16.21	67.43	15.71	-14.04	74.82	18.52	-16.85
86	60.66	5.10	-16.27	66.23	16.46	-14.36	74.45	18.75	-16.67
87	61.46	5.09	-16.32	65.04	17.28	-14.71	74.05	18.97	-16.49
88	62.25	5.08	-16.36	63.86	18.17	-15.10	73.63	19.18	-16.32
89	63.01	5.08	-16.38	62.69	19.13	-15.53	73.20	19.37	-16.15
90	63.76	5.09	-16.38	61.52	20.13	-15.98	72.75	19.54	-15.98
91	64.48	5.11	-16.38	60.35	21.21	-16.46	72.30	19.69	-15.82
92	65.19	5.13	-16.35	59.16	22.34	-16.97	71.83	19.83	-15.67
93	65.86	5.18	-16.33	57.97	23.52	-17.50	71.35	19.93	-15.52
94	66.50	5.22	-16.27	56.76	24.74	-18.02	70.88	20.03	-15.39
95	67.12	5.29	-16.23	55.54	26.02	-18.59	70.40	20.09	-15.25
96	67.69	5.35	-16.16	54.28	27.32	-19.14	69.92	20.15	-15.14
97	68.22	5.42	-16.08	52.99	28.66	-19.71	69.44	20.18	-15.02
98	68.72	5.51	-16.00	51.67	30.01	-20.26	68.96	20.21	-14.94
99	69.16	5.60	-15.89	50.30	31.39	-20.83	68.47	20.22	-14.84
100	69.55	5.71	-15.79	48.89	32.77	-21.37	67.97	20.22	-14.76
101	69.89	5.81	-15.66	47.44	34.15	-21.90	67.48	20.23	-14.71
102	70.17	5.94	-15.53	45.92	35.53	-22.43	66.96	20.23	-14.65
103	70.40	6.07	-15.38	44.35	36.87	-22.92	66.44	20.22	-14.61
104	70.57	6.20	-15.22	42.71	38.21	-23.41	65.90	20.24	-14.59
105	70.70	6.34	-15.04	41.02	39.51	-23.85	65.35	20.26	-14.58
106	70.76	6.50	-14.86	39.27	40.77	-24.28	64.76	20.29	-14.58
107	70.77	6.66	-14.66	37.45	41.97	-24.66	64.18	20.35	-14.60
108	70.74	6.84	-14.47	35.59	43.12	-25.01	63.55	20.42	-14.63
109	70.65	7.03	-14.26	33.68	44.20	-25.31	62.89	20.51	-14.68
110	70.52	7.26	-14.06	31.71	45.20	-25.58	62.20	20.62	-14.74
111	70.34	7.50	-13.86	29.73	46.11	-25.79	61.49	20.77	-14.83
112	70.12	7.76	-13.67	27.72	46.93	-25.97	60.73	20.92	-14.91
113	69.84	8.07	-13.50	25.70	47.67	-26.10	59.94	21.10	-15.01
114	69.53	8.40	-13.34	23.69	48.27	-26.17	59.11	21.31	-15.13
115	69.16	8.77	-13.21	21.69	48.78	-26.21	58.26	21.53	-15.26
116	68.75	9.17	-13.10	19.72	49.18	-26.20	57.37	21.77	-15.39
117	68.30	9.61	-13.02	17.79	49.46	-26.16	56.46	22.03	-15.55
118	67.78	10.09	-12.96	15.93	49.61	-26.06	55.53	22.29	-15.69
119	67.23	10.60	-12.95	14.13	49.66	-25.93	54.58	22.57	-15.86
120	66.63	11.15	-12.96	12.43	49.59	-25.78	53.62	22.87	-16.04
121	65.97	11.73	-13.01	10.84	49.40	-25.59	52.63	23.17	-16.21
122	65.28	12.35	-13.11	9.36	49.12	-25.39	51.65	23.48	-16.39
123	64.55	13.01	-13.24	8.01	48.72	-25.15	50.65	23.79	-16.58
124	63.79	13.69	-13.41	6.82	48.24	-24.91	49.66	24.10	-16.77
125	63.00	14.40	-13.62	5.77	47.68	-24.67	48.69	24.43	-16.98
126	62.20	15.13	-13.87	4.90	47.03	-24.42	47.70	24.74	-17.17
127	61.39	15.88	-14.14	4.20	46.33	-24.18	46.74	25.07	-17.40
128	60.55	16.62	-14.43	3.70	45.58	-23.96	45.78	25.38	-17.61
129	59.68	17.36	-14.73	3.38	44.78	-23.76	44.85	25.68	-17.83
130	58.75	18.07	-15.03	3.28	43.95	-23.56	43.91	25.98	-18.05
131	57.76	18.77	-15.33	3.39	43.12	-23.40	42.99	26.27	-18.27
132	56.70	19.46	-15.65	3.72	42.27	-23.26	42.09	26.55	-18.50
133	55.62	20.12	-15.97	4.29	41.43	-23.15	41.20	26.81	-18.73
134	54.51	20.77	-16.31	5.10	40.62	-23.08	40.31	27.04	-18.95
135	53.38	21.40	-16.66	6.14	39.84	-23.04	39.45	27.27	-19.18
136	52.24	22.02	-17.04	7.42	39.11	-23.04	38.59	27.48	-19.39
137	51.10	22.61	-17.42	8.95	38.46	-23.11	37.75	27.66	-19.61
138	49.97	23.18	-17.81	10.70	37.89	-23.21	36.91	27.83	-19.83
139	48.84	23.73	-18.21	12.70	37.39	-23.36	36.08	27.98	-20.06
140	47.74	24.27	-18.64	14.94	37.01	-23.58	35.27	28.11	-20.28
141	46.67	24.78	-19.05	17.39	36.74	-23.84	34.46	28.24	-20.51
142	45.61	25.27	-19.48	20.08	36.57	-24.15	33.67	28.35	-20.74
143	44.58	25.75	-19.91	22.98	36.53	-24.51	32.89	28.44	-20.97
144	43.56	26.20	-20.32	26.11	36.61	-24.92	32.12	28.54	-21.21
145	42.58	26.64	-20.73	29.45	36.81	-25.37	31.37	28.62	-21.45
146	41.60	27.05	-21.12	32.99	37.12	-25.85	30.61	28.70	-21.69
147	40.63	27.47	-21.51	36.72	37.56	-26.38	29.89	28.77	-21.92
148	39.69	27.86	-21.87	40.65	38.09	-26.92	29.16	28.85	-22.17
149	38.74	28.26	-22.22	44.76	38.73	-27.48	28.46	28.91	-22.40
150	37.84	28.65	-22.55	49.04	39.47	-28.06	27.77	28.99	-22.65
151	36.97	29.06	-22.89	53.46	40.29	-28.64	27.13	29.05	-22.88
152	36.12	29.46	-23.21	58.04	41.19	-29.24	26.49	29.14	-23.13
153	35.30	29.87	-23.51	62.73	42.14	-29.82	25.90	29.21	-23.37
154	34.49	30.28	-23.81	67.54	43.15	-30.41	25.35	29.30	-23.62
155	33.69	30.67	-24.08	72.44	44.18	-30.97	24.85	29.39	-23.85
156	32.90	31.06	-24.33	77.43	45.24	-31.52	24.41	29.52	-24.12
157	32.11	31.42	-24.55	82.47	46.31	-32.05	24.04	29.63	-24.37
158	31.33	31.77	-24.74	87.56	47.35	-32.53	23.73	29.78	-24.63
159	30.54	32.08	-24.90	92.69	48.37	-32.99	23.50	29.93	-24.89
160	29.77	32.37	-25.03	97.82	49.35	-33.41	23.36	30.12	-25.18
161	29.01	32.63	-25.13	102.94	50.26	-33.79	23.30	30.32	-25.46
162	28.27	32.84	-25.20	108.04	51.10	-34.11	23.34	30.55	-25.74
163	27.56	33.02	-25.23	113.07	51.85	-34.40	23.47	30.81	-26.05
164	26.88	33.16	-25.23	118.03	52.49	-34.63	23.71	31.11	-26.36
165	26.26	33.26	-25.21	122.89	53.01	-34.80	24.05	31.42	-26.66
166	25.69	33.31	-25.15	127.63	53.40	-34.92	24.49	31.77	-26.98
167	25.19	33.32	-25.07	132.21	53.66	-34.98	25.04	32.15	-27.30
168	24.78	33.29	-24.97	136.61	53.76	-34.97	25.71	32.55	-27.60
169	24.45	33.22	-24.85	140.79	53.71	-34.90	26.51	32.98	-27.90
170	24.22	33.12	-24.72	144.71	53.52	-34.77	27.42	33.44	-28.19
171	24.10	32.98	-24.57	148.36	53.15	-34.55	28.48	33.92	-28.47
172	24.09	32.81	-24.43	151.68	52.62	-34.25	29.65	34.42	-28.74
173	24.20	32.62	-24.28	154.63	51.93	-33.88	30.98	34.96	-28.99
174	24.44	32.41	-24.15	157.19	51.07	-33.40	32.43	35.52	-29.24
175	24.81	32.19	-24.02	159.29	50.06	-32.85	34.02	36.12	-29.48
176	25.30	31.96	-23.91	160.92	48.89	-32.18	35.75	36.75	-29.71
177	25.94	31.73	-23.83	162.02	47.57	-31.43	37.63	37.41	-29.93
178	26.71	31.50	-23.77	162.57	46.09	-30.56	39.63	38.09	-30.12
179	27.63	31.28	-23.74	162.51	44.49	-29.59	41.79	38.80	-30.31
180	28.69	31.09	-23.75	161.83	42.73	-28.50	44.08	39.54	-30.47
181	29.91	30.90	-23.79	160.51	40.86	-27.32	46.50	40.29	-30.63
182	31.27	30.74	-23.86	158.52	38.86	-26.02	49.07	41.06	-30.76
183	32.76	30.62	-23.97	155.84	36.75	-24.62	51.75	41.83	-30.86
184	34.40	30.52	-24.11	152.51	34.53	-23.12	54.57	42.62	-30.95
185	36.17	30.46	-24.28	148.49	32.20	-21.53	57.51	43.40	-31.00
186	38.06	30.44	-24.50	143.83	29.78	-19.88	60.56	44.17	-31.02
187	40.10	30.47	-24.74	138.56	27.28	-18.16	63.73	44.93	-31.00
188	42.23	30.55	-25.04	132.72	24.66	-16.38	67.00	45.65	-30.95
189	44.49	30.69	-25.36	126.36	22.00	-14.59	70.38	46.35	-30.87
190	46.85	30.89	-25.72	119.55	19.22	-12.78	73.82	47.00	-30.75
191	49.32	31.14	-26.12	112.39	16.39	-11.01	77.35	47.60	-30.59
192	51.89	31.45	-26.55	104.91	13.48	-9.25	80.95	48.16	-30.41
193	54.54	31.83	-27.01	97.25	10.52	-7.58	84.62	48.66	-30.21
194	57.29	32.25	-27.50	89.48	7.51	-5.99	88.34	49.08	-29.96
195	60.11	32.75	-28.02	81.67	4.49	-4.52	92.10	49.46	-29.70
196	63.02	33.29	-28.57	73.95	1.44	-3.18	95.89	49.73	-29.40
197	65.99	33.89	-29.14	66.38	-1.56	-2.00	99.72	49.95	-29.09
198	69.04	34.54	-29.73	59.02	-4.51	-0.99	103.56	50.06	-28.73
199	72.16	35.24	-30.35	51.96	-7.35	-0.18	107.41	50.11	-28.37
200	75.32	35.98	-30.97	45.26	-10.04	0.44	111.26	50.05	-27.97
201	78.56	36.76	-31.60	38.94	-12.54	0.88	115.08	49.91	-27.55
202	81.84	37.58	-32.24	33.06	-14.82	1.13	118.86	49.68	-27.12
203	85.17	38.44	-32.88	27.63	-16.81	1.21	122.58	49.35	-26.67
204	88.55	39.32	-33.51	22.69	-18.53	1.14	126.24	48.93	-26.20
205	91.96	40.22	-34.13	18.23	-19.90	0.95	129.81	48.41	-25.72
206	95.40	41.14	-34.73	14.26	-20.97	0.66	133.26	47.79	-25.21
207	98.88	42.07	-35.31	10.77	-21.64	0.31	136.57	47.08	-24.69
208	102.37	43.00	-35.86	0.03	-15.89	0.22	139.70	46.28	-24.17
209	105.87	43.93	-36.39	-0.60	-16.17	-0.14	142.64	45.37	-23.62
210	109.39	44.84	-36.87	-1.18	-16.11	-0.49	145.33	44.37	-23.06
211	112.90	45.72	-37.32	-1.67	-15.71	-0.80	147.77	43.27	-22.48
212	116.41	46.57	-37.73	-2.05	-14.95	-1.04	149.88	42.09	-21.89
213	119.90	47.38	-38.10	-2.31	-13.90	-1.21	151.64	40.81	-21.27
214	123.37	48.12	-38.41	-2.44	-12.56	-1.30	153.01	39.46	-20.66
215	126.81	48.80	-38.67	-2.43	-11.02	-1.32	153.93	38.02	-20.00
216	130.21	49.41	-38.88	-2.29	-9.32	-1.25	154.37	36.53	-19.33
217	133.58	49.93	-39.02	-2.01	-7.53	-1.13	154.28	34.97	-18.63
218	136.89	50.35	-39.10	-1.62	-5.66	-0.94	153.63	33.37	-17.90
219	140.16	50.66	-39.11	-1.16	-3.80	-0.72	152.38	31.75	-17.13
220	143.35	50.86	-39.06	-0.64	-1.97	-0.48	150.52	30.11	-16.32
221	146.46	50.94	-38.95	-0.13	-0.18	-0.23	148.00	28.48	-15.46
222	149.48	50.87	-38.76	0.37	1.49	0.02	144.83	26.86	-14.57
223	152.38	50.67	-38.51	0.81	3.06	0.25	140.98	25.26	-13.63
224	155.18	50.31	-38.20	1.18	4.46	0.46	136.47	23.69	-12.64
225	157.81	49.79	-37.82	1.46	5.70	0.63	131.31	22.15	-11.62
226	160.31	49.11	-37.38	1.64	6.77	0.77	125.55	20.64	-10.56
227	162.61	48.25	-36.86	1.71	7.66	0.87	119.22	19.17	-9.48
228	164.71	47.24	-36.30	1.67	8.36	0.94	112.38	17.71	-8.36
229	166.59	46.07	-35.67	1.50	8.93	0.98	105.10	16.24	-7.23
230	168.21	44.75	-34.99	1.21	9.34	1.00	97.46	14.79	-6.11
231	169.56	43.28	-34.24	0.79	9.64	1.00	89.56	13.29	-4.99
232	170.59	41.66	-33.43	0.23	9.82	0.98	81.51	11.78	-3.91
233	171.30	39.93	-32.56	-0.43	9.95	0.95	73.38	10.19	-2.86
234	171.64	38.09	-31.64	-1.20	9.99	0.90	65.31	8.55	-1.89
235	171.59	36.15	-30.65	-2.07	9.99	0.86	57.39	6.83	-1.00
236	171.13	34.13	-29.61	-3.01	9.97	0.81	49.73	5.04	-0.20
237	170.22	32.05	-28.50	-4.01	9.91	0.75	42.42	3.20	0.46
238	168.88	29.92	-27.34	-5.05	9.84	0.69	35.55	1.28	0.99
239	167.05	27.78	-26.12	-6.10	9.77	0.63	29.17	-0.66	1.38
240	164.74	25.61	-24.84	-7.14	9.68	0.56	23.37	-2.60	1.61
241	161.93	23.48	-23.53	-8.15	9.58	0.50	18.17	-4.51	1.69
242	158.62	21.35	-22.15	-9.11	9.47	0.43	13.63	-6.38	1.63
243	154.82	19.28	-20.76	-10.01	9.34	0.35	9.73	-8.14	1.43
244	150.55	17.25	-19.32	-10.83	9.19	0.28	6.50	-9.81	1.12
245	145.81	15.28	-17.86	-11.55	9.00	0.20	3.89	-11.31	0.73
246	140.63	13.38	-16.38	-12.17	8.79	0.12	0.38	-10.38	0.13
247	135.05	11.56	-14.89	-12.67	8.53	0.05	0.29	-11.47	-0.20
248	129.13	9.80	-13.40	-13.08	8.24	-0.03	0.30	-12.41	-0.56
249	122.87	8.12	-11.92	-13.35	7.91	-0.10	0.45	-13.13	-0.92
250	116.37	6.51	-10.46	-13.53	7.53	-0.17	0.75	-13.67	-1.25
251	109.66	4.95	-9.04	-13.58	7.12	-0.23	1.20	-14.00	-1.54
252	102.81	3.46	-7.67	-13.54	6.67	-0.28	1.81	-14.13	-1.76
253	95.89	2.00	-6.35	-13.39	6.18	-0.32	2.56	-14.12	-1.92
254	88.93	0.60	-5.11	-13.17	5.67	-0.36	3.43	-13.94	-2.01
255	82.03	-0.77	-3.95	-12.84	5.13	-0.38	4.39	-13.63	-2.03
256	75.23	-2.08	-2.90	-12.45	4.56	-0.40	5.42	-13.22	-1.98
257	68.58	-3.35	-1.95	-11.98	3.99	-0.41	6.46	-12.70	-1.88
258	62.13	-4.55	-1.13	-11.45	3.39	-0.41	7.48	-12.10	-1.72
259	55.95	-5.67	-0.43	-10.87	2.78	-0.41	8.45	-11.38	-1.53
260	50.04	-6.70	0.15	-10.22	2.18	-0.40	9.27	-10.59	-1.31
261	44.48	-7.62	0.60	-9.57	1.56	-0.39	9.95	-9.72	-1.08
262	39.24	-8.42	0.94	-8.86	0.97	-0.38	10.45	-8.77	-0.84
263	34.36	-9.07	1.16	-8.15	0.37	-0.37	10.73	-7.78	-0.61
264	29.82	-9.60	1.29	-7.42	-0.22	-0.36	10.78	-6.75	-0.40
265	25.62	-9.97	1.34	-6.70	-0.78	-0.35	10.61	-5.70	-0.21
266	2.05	-4.39	0.95	-5.98	-1.32	-0.35	10.19	-4.62	-0.04
267	1.62	-4.89	0.91	-5.29	-1.83	-0.35	9.55	-3.55	0.10
268	1.08	-5.31	0.83	-4.61	-2.30	-0.35	8.67	-2.46	0.21
269	0.42	-5.58	0.72	-3.98	-2.74	-0.36	7.57	-1.42	0.29
270	-0.33	-5.78	0.57	-3.37	-3.14	-0.37	6.29	-0.35	0.35
271	-1.18	-5.89	0.39	-2.80	-3.49	-0.38	4.82	0.65	0.39
272	-2.06	-5.98	0.19	-2.27	-3.81	-0.39	3.22	1.64	0.40
273	-2.97	-6.05	-0.03	-1.79	-4.08	-0.40	1.49	2.56	0.40
274	-3.85	-6.09	-0.27	-1.33	-4.31	-0.41	-0.33	3.44	0.38
275	-4.68	-6.16	-0.51	-0.91	-4.48	-0.42	-2.20	4.26	0.35
276	-5.46	-6.21	-0.75	-0.53	-4.63	-0.42	-4.10	4.99	0.30
277	-6.14	-6.28	-0.97	-0.17	-4.72	-0.42	-5.98	5.65	0.26
278	-6.78	-6.34	-1.19	0.16	-4.79	-0.42	-7.84	6.21	0.21
279	-7.35	-6.41	-1.38	0.47	-4.82	-0.42	-9.62	6.68	0.15
280	-7.87	-6.52	-1.55	0.77	-4.81	-0.41	-11.29	7.04	0.10
281	-8.31	-6.61	-1.69	1.06	-4.78	-0.40	-12.84	7.32	0.04
282	-8.69	-6.77	-1.80	1.34	-4.73	-0.38	-14.23	7.46	-0.02
283	-8.99	-6.94	-1.89	1.61	-4.66	-0.37	-15.44	7.52	-0.08
284	-9.21	-7.11	-1.94	1.88	-4.56	-0.35	-16.45	7.47	-0.14
285	-9.34	-7.30	-1.96	2.17	-4.46	-0.32	-17.27	7.32	-0.20
286	-9.40	-7.45	-1.95	2.44	-4.36	-0.30	-17.88	7.08	-0.26
287	-9.39	-7.57	-1.90	2.74	-4.23	-0.27	-18.27	6.77	-0.32
288	-9.30	-7.63	-1.83	3.03	-4.09	-0.25	-18.46	6.40	-0.39
289	-9.17	-7.62	-1.74	3.35	-3.94	-0.22	-18.47	5.97	-0.45
290	-8.98	-7.55	-1.63	3.67	-3.80	-0.19	-18.30	5.51	-0.51
291	-8.75	-7.38	-1.51	4.02	-3.63	-0.16	-17.96	5.04	-0.56
292	-8.50	-7.14	-1.38	4.38	-3.47	-0.13	-17.49	4.58	-0.60
293	-8.21	-6.81	-1.24	4.77	-3.29	-0.10	-16.89	4.13	-0.63
294	-7.93	-6.40	-1.10	5.16	-3.14	-0.08	-16.17	3.74	-0.65
295	-7.61	-5.93	-0.97	5.58	-2.97	-0.05	-15.39	3.36	-0.65
296	-7.31	-5.37	-0.83	6.01	-2.80	-0.03	-14.54	3.06	-0.63
297	-7.03	-4.80	-0.71	6.47	-2.65	-0.01	-13.64	2.82	-0.60
298	-6.74	-4.17	-0.59	6.94	-2.48	0.01	-12.72	2.66	-0.55
299	-6.49	-3.53	-0.49	7.42	-2.32	0.02	-11.79	2.55	-0.49
300	-6.24	-2.87	-0.39	7.91	-2.15	0.04	-10.88	2.50	-0.42
301	-6.02	-2.25	-0.31	8.40	-1.99	0.05	-9.97	2.49	-0.34
302	-5.81	-1.62	-0.24	8.87	-1.80	0.06	-9.11	2.55	-0.25
303	-5.62	-1.05	-0.18	9.33	-1.63	0.07	-8.27	2.63	-0.16
304	-5.46	-0.53	-0.13	9.75	-1.43	0.08	-7.50	2.72	-0.07
305	-5.29	-0.06	-0.10	10.15	-1.23	0.09	-6.76	2.83	0.01
306	-5.15	0.32	-0.07	10.50	-1.01	0.10	-6.08	2.95	0.10
307	-5.02	0.63	-0.06	10.80	-0.81	0.10	-5.46	3.03	0.17
308	-4.88	0.87	-0.05	11.04	-0.56	0.11	-4.90	3.11	0.24
309	-4.75	1.02	-0.05	11.22	-0.33	0.12	-4.38	3.15	0.29
310	-4.61	1.09	-0.06	11.32	-0.09	0.13	-3.91	3.18	0.34
311	-4.48	1.10	-0.06	11.35	0.16	0.13	-3.50	3.15	0.37
